Entity	Code	Year	"GDP per capita, PPP (constant 2017 international $)"
Bangladesh	BGD	2016	4589.0938
Kenya	KEN	2020	4498.383
Uganda	UGA	2021	2246.414
Tunisia	TUN	2020	10050.046
Albania	ALB	2017	12773.269
Lebanon	LBN	2020	13780.958
Kenya	KEN	2019	4601.2114
Azerbaijan	AZE	2011	13913.837
Namibia	NAM	2020	9048.184
Namibia	NAM	2019	10009.578
India	IND	2014	5071.047
Serbia	SRB	2011	14926.494
Mongolia	MNG	2011	8685.78
Ukraine	UKR	2019	12804.955
Armenia	ARM	2018	13231.431
Palestine	PSE	2011	5782.6895
Kenya	KEN	2016	4244.8574
Palestine	PSE	2019	6245.4487
Myanmar	MMR	2016	4109.5576
Kenya	KEN	2021	4743.4863
Georgia	GEO	2018	14253.409
Haiti	HTI	2014	3106.9849
Palestine	PSE	2020	5402.5386
Pakistan	PAK	2021	5232.1426
Nepal	NPL	2014	3152.2932
Cameroon	CMR	2015	3614.7556
Kenya	KEN	2018	4464.813
Bangladesh	BGD	2017	4830.776
Mauritania	MRT	2018	5367.2163
Palestine	PSE	2021	5643.0723
Nepal	NPL	2011	2763.8289
Armenia	ARM	2011	9551.158
Sri Lanka	LKA	2017	13584.193
Namibia	NAM	2021	9137.797
South Africa	ZAF	2015	13887.211
Bangladesh	BGD	2018	5124.4985
Yemen	YEM	2011	
Sri Lanka	LKA	2016	12904.854
Uganda	UGA	2019	2250.015
Myanmar	MMR	2020	4947.0938
Egypt	EGY	2017	10435.917
Kenya	KEN	2014	4055.1133
Sri Lanka	LKA	2015	12420.553
Kenya	KEN	2017	4312.9087
India	IND	2015	5411.8755
Eswatini	SWZ	2021	8856.829
Myanmar	MMR	2015	3748.2942
Jordan	JOR	2020	9203.376
Myanmar	MMR	2021	4032.6257
Tunisia	TUN	2019	11100.82
Armenia	ARM	2016	11580.384
Cameroon	CMR	2011	3314.8982
Mauritania	MRT	2019	5505.6465
North Macedonia	MKD	2011	13809.965
Sri Lanka	LKA	2018	13753.055
Egypt	EGY	2015	9999.19
Myanmar	MMR	2018	4556.2812
Armenia	ARM	2015	11506.039
Kenya	KEN	2015	4163.925
Armenia	ARM	2014	11105.532
Georgia	GEO	2017	13589.707
Ukraine	UKR	2018	12336.927
Sri Lanka	LKA	2019	13639.021
Armenia	ARM	2017	12509.64
India	IND	2016	5789.678
Uganda	UGA	2011	1996.0656
Myanmar	MMR	2019	4829.5366
Myanmar	MMR	2017	4312.9473
Myanmar	MMR	2014	3658.5935
Georgia	GEO	2016	12963.744
Ghana	GHA	2015	4616.6196
Sri Lanka	LKA	2014	12029.375
Sri Lanka	LKA	2011	10190.35
Afghanistan	AFG	2011	1961.0963
Mauritania	MRT	2020	5314.8496
Bulgaria	BGR	2014	19206.262
Bulgaria	BGR	2015	19991.818
Egypt	EGY	2014	9793.955
India	IND	2017	6112.0664
Uganda	UGA	2018	2186.9072
Kenya	KEN	2011	3824.1975
Angola	AGO	2011	7664.44
Uganda	UGA	2017	2128.397
Jordan	JOR	2021	9223.147
Niger	NER	2011	1010.32697
Ghana	GHA	2016	4662.011
Ukraine	UKR	2017	11860.561
Cambodia	KHM	2011	2856.5308
Uganda	UGA	2016	2137.2073
Liberia	LBR	2011	1475.8392
Haiti	HTI	2015	3141.0469
India	IND	2018	6436.1533
Uganda	UGA	2014	2067.7954
Bulgaria	BGR	2011	18664.834
Angola	AGO	2015	7967.104
Sierra Leone	SLE	2020	1586.196
India	IND	2020	6114.0317
Tanzania	TZA	2011	2064.7107
Angola	AGO	2016	7488.1387
Afghanistan	AFG	2016	2101.422
Haiti	HTI	2011	3047.2747
India	IND	2021	6592.042
Tanzania	TZA	2015	2306.6382
Zimbabwe	ZWE	2018	2399.6216
Afghanistan	AFG	2017	2096.093
Tanzania	TZA	2020	2551.2063
Haiti	HTI	2020	2959.0894
Haiti	HTI	2016	3153.1763
Haiti	HTI	2018	3197.1414
Sierra Leone	SLE	2011	1450.4935
India	IND	2019	6608.624
Rwanda	RWA	2015	1844.7169
Tanzania	TZA	2019	2577.6658
Botswana	BWA	2021	14840.913
Rwanda	RWA	2016	1907.6816
Botswana	BWA	2020	13545.674
Rwanda	RWA	2014	1735.5454
Rwanda	RWA	2020	2067.6416
Rwanda	RWA	2017	1934.9729
Afghanistan	AFG	2015	2108.714
Tanzania	TZA	2016	2380.9314
Rwanda	RWA	2018	2050.441
Rwanda	RWA	2019	2191.4016
Tanzania	TZA	2017	2458.3428
Zimbabwe	ZWE	2019	2203.3967
Tanzania	TZA	2018	2510.9663
Afghanistan	AFG	2018	2060.699
Zimbabwe	ZWE	2020	1990.3195
Zimbabwe	ZWE	2021	2115.1445
Burundi	BDI	2016	764.3366
Burundi	BDI	2015	781.5793
Burundi	BDI	2014	831.29486
Afghanistan	AFG	2019	2079.9219
Afghanistan	AFG	2020	1968.341
Afghanistan	AFG	2021	1516.3057
Afghanistan	AFG	2009	1823.7426
Afghanistan	AFG	2010	2026.1638
Afghanistan	AFG	2012	2122.8308
Albania	ALB	1992	3265.4143
Albania	ALB	1993	3599.4646
Albania	ALB	1994	3922.3281
Albania	ALB	1995	4472.415
Albania	ALB	1996	4909.825
Albania	ALB	1997	4401.113
Albania	ALB	1998	4819.9443
Albania	ALB	1999	5475.845
Albania	ALB	2000	5893.654
Albania	ALB	2001	6442.612
Albania	ALB	2002	6755.1094
Albania	ALB	2003	7155.2964
Albania	ALB	2004	7581.5063
Albania	ALB	2005	8041.5435
Albania	ALB	2006	8570.107
Albania	ALB	2007	9151.78
Albania	ALB	2008	9913.951
Albania	ALB	2009	10315.777
Albania	ALB	2010	10751.421
Albania	ALB	2012	11229.992
Albania	ALB	2013	11363.318
Algeria	DZA	2006	10592.247
Algeria	DZA	2007	10775.532
Algeria	DZA	2008	10847.177
Algeria	DZA	2009	10824.576
Algeria	DZA	2010	11007.747
Algeria	DZA	2012	11270.701
Algeria	DZA	2013	11360.638
American Samoa	ASM	2001	
American Samoa	ASM	2002	
American Samoa	ASM	2003	
American Samoa	ASM	2004	
American Samoa	ASM	2005	
American Samoa	ASM	2006	
American Samoa	ASM	2007	
American Samoa	ASM	2008	
American Samoa	ASM	2009	
American Samoa	ASM	2010	
American Samoa	ASM	2011	
American Samoa	ASM	2012	
American Samoa	ASM	2013	
American Samoa	ASM	2014	
American Samoa	ASM	2015	
American Samoa	ASM	2016	
American Samoa	ASM	2017	
American Samoa	ASM	2018	
American Samoa	ASM	2019	
Andorra	AND	2004	
Andorra	AND	2007	
Andorra	AND	2008	
Andorra	AND	2009	
Andorra	AND	2010	
Andorra	AND	2011	
Andorra	AND	2012	
Andorra	AND	2013	
Andorra	AND	2014	
Andorra	AND	2015	
Andorra	AND	2020	
Angola	AGO	2012	8012.101
Anguilla	AIA	1990	
Anguilla	AIA	1991	
Anguilla	AIA	1992	
Anguilla	AIA	1993	
Anguilla	AIA	1994	
Anguilla	AIA	1995	
Anguilla	AIA	1996	
Anguilla	AIA	1997	
Anguilla	AIA	1998	
Anguilla	AIA	1999	
Anguilla	AIA	2000	
Anguilla	AIA	2001	
Anguilla	AIA	2002	
Anguilla	AIA	2003	
Anguilla	AIA	2004	
Anguilla	AIA	2005	
Anguilla	AIA	2006	
Anguilla	AIA	2007	
Anguilla	AIA	2008	
Anguilla	AIA	2009	
Anguilla	AIA	2010	
Anguilla	AIA	2011	
Anguilla	AIA	2012	
Anguilla	AIA	2013	
Anguilla	AIA	2014	
Antigua and Barbuda	ATG	1990	15264.63
Antigua and Barbuda	ATG	1991	15521.875
Antigua and Barbuda	ATG	1992	15452.782
Antigua and Barbuda	ATG	1993	15978.309
Antigua and Barbuda	ATG	1994	16730.518
Antigua and Barbuda	ATG	1995	15690.93
Antigua and Barbuda	ATG	1996	16391.719
Antigua and Barbuda	ATG	1997	16943.895
Antigua and Barbuda	ATG	2000	18545.92
Antigua and Barbuda	ATG	2001	17433.018
Antigua and Barbuda	ATG	2002	17388.543
Antigua and Barbuda	ATG	2003	18237.268
Antigua and Barbuda	ATG	2004	19077.41
Antigua and Barbuda	ATG	2005	20076.44
Antigua and Barbuda	ATG	2006	22340.793
Antigua and Barbuda	ATG	2007	24088.123
Antigua and Barbuda	ATG	2008	23727.38
Antigua and Barbuda	ATG	2009	20571.906
Antigua and Barbuda	ATG	2010	18702.09
Antigua and Barbuda	ATG	2012	18526.39
Antigua and Barbuda	ATG	2017	20777.875
Antigua and Barbuda	ATG	2018	22085.262
Antigua and Barbuda	ATG	2019	23035.658
Antigua and Barbuda	ATG	2020	18275.69
Antigua and Barbuda	ATG	2021	19124.43
Argentina	ARG	2001	17514.504
Argentina	ARG	2002	15439.745
Argentina	ARG	2003	16631.574
Argentina	ARG	2004	17950.15
Argentina	ARG	2005	19338.146
Argentina	ARG	2006	20679.242
Argentina	ARG	2007	22316.256
Argentina	ARG	2008	22992.39
Argentina	ARG	2009	21413.283
Argentina	ARG	2010	23521.27
Argentina	ARG	2012	24118.867
Argentina	ARG	2013	24424.137
Armenia	ARM	1990	5153.2983
Armenia	ARM	1991	4473.519
Armenia	ARM	1992	2634.9631
Armenia	ARM	1993	2484.5522
Armenia	ARM	1994	2683.6375
Armenia	ARM	1995	2912.781
Armenia	ARM	1996	3105.953
Armenia	ARM	1997	3236.0605
Armenia	ARM	1998	3505.3684
Armenia	ARM	1999	3660.0342
Armenia	ARM	2000	3921.8574
Armenia	ARM	2001	4346.9077
Armenia	ARM	2002	4965.224
Armenia	ARM	2004	6334.856
Armenia	ARM	2005	7259.204
Armenia	ARM	2006	8273.786
Armenia	ARM	2007	9476.472
Armenia	ARM	2008	10201.56
Armenia	ARM	2009	8819.678
Armenia	ARM	2010	9068.788
Armenia	ARM	2012	10289.976
Armenia	ARM	2013	10677.304
Aruba	ABW	1990	30823.482
Aruba	ABW	1995	35780.723
Aruba	ABW	1999	35495.25
Aruba	ABW	2001	38123.344
Aruba	ABW	2002	37309.79
Aruba	ABW	2003	37353.56
Aruba	ABW	2004	39713.848
Aruba	ABW	2005	39166.133
Aruba	ABW	2006	39146.91
Aruba	ABW	2007	39866.715
Aruba	ABW	2008	40096.78
Aruba	ABW	2009	34978.008
Aruba	ABW	2010	33639.395
Aruba	ABW	2011	34446.855
Aruba	ABW	2012	33815.11
Aruba	ABW	2013	35720.7
Aruba	ABW	2014	35467.234
Australia	AUS	1990	31006.1
Australia	AUS	1991	30496.127
Australia	AUS	1992	30285.854
Australia	AUS	1993	31232.586
Australia	AUS	1994	32164.658
Australia	AUS	1995	33044.844
Australia	AUS	1996	33905.26
Australia	AUS	1997	34852.75
Australia	AUS	1998	36099.023
Australia	AUS	1999	37475.98
Australia	AUS	2000	38494.887
Australia	AUS	2001	38779.6
Australia	AUS	2002	39872.15
Australia	AUS	2003	40642.562
Australia	AUS	2004	41905.85
Australia	AUS	2005	42704.44
Australia	AUS	2006	43286.723
Australia	AUS	2007	44109.668
Australia	AUS	2008	44777.273
Australia	AUS	2009	44684.402
Australia	AUS	2010	44965.395
Australia	AUS	2012	46360.605
Australia	AUS	2013	46744.625
Austria	AUT	1990	37494.56
Austria	AUT	1991	38399.676
Austria	AUT	1992	38774.492
Austria	AUT	1993	38658.65
Austria	AUT	1994	39435.21
Austria	AUT	1995	40425.395
Austria	AUT	1996	41319.375
Austria	AUT	1997	42136.664
Austria	AUT	1998	43597.89
Austria	AUT	1999	45060.617
Austria	AUT	2000	46469.86
Austria	AUT	2001	46878.918
Austria	AUT	2002	47419.277
Austria	AUT	2003	47633.113
Austria	AUT	2004	48633.273
Austria	AUT	2005	49387.027
Austria	AUT	2006	50840.695
Austria	AUT	2007	52565.074
Austria	AUT	2008	53166.055
Austria	AUT	2009	51030.727
Austria	AUT	2010	51843.43
Austria	AUT	2012	53297.445
Austria	AUT	2013	52997.754
Azerbaijan	AZE	1990	7616.91
Azerbaijan	AZE	1991	7463.629
Azerbaijan	AZE	1992	5690.181
Azerbaijan	AZE	1993	4309.9214
Azerbaijan	AZE	1994	3414.5112
Azerbaijan	AZE	1995	2976.995
Azerbaijan	AZE	1996	2985.3372
Azerbaijan	AZE	1997	3128.164
Azerbaijan	AZE	1998	3408.4753
Azerbaijan	AZE	1999	3628.7168
Azerbaijan	AZE	2000	3998.5205
Azerbaijan	AZE	2001	4360.4595
Azerbaijan	AZE	2002	4736.5645
Azerbaijan	AZE	2007	11684.191
Azerbaijan	AZE	2008	12672.376
Azerbaijan	AZE	2010	14082.238
Azerbaijan	AZE	2012	14027.469
Azerbaijan	AZE	2013	14651.694
Bahamas	BHS	1990	36041.04
Bahamas	BHS	1991	33860.984
Bahamas	BHS	1992	31882.47
Bahamas	BHS	1993	31293.527
Bahamas	BHS	1994	31638.508
Bahamas	BHS	1995	32411.258
Bahamas	BHS	1996	33184.277
Bahamas	BHS	1997	34867.01
Bahamas	BHS	2000	37131.305
Bahamas	BHS	2001	37572.895
Bahamas	BHS	2002	38083.53
Bahamas	BHS	2003	37103.4
Bahamas	BHS	2004	36929.17
Bahamas	BHS	2005	37665.387
Bahamas	BHS	2006	38081.246
Bahamas	BHS	2007	38091.906
Bahamas	BHS	2008	36680.83
Bahamas	BHS	2009	34646.59
Bahamas	BHS	2010	34688.094
Bahamas	BHS	2011	34468.887
Bahamas	BHS	2012	35150.562
Bahamas	BHS	2013	33826.34
Bahamas	BHS	2014	34143.03
Bahamas	BHS	2015	34170.23
Bahamas	BHS	2016	33596.637
Bahamas	BHS	2017	34357.27
Bahamas	BHS	2018	34735.125
Bahamas	BHS	2019	35161.832
Bahamas	BHS	2020	26659.238
Bahamas	BHS	2021	30210.162
Bahrain	BHR	1995	43369.152
Bahrain	BHR	1996	43737.188
Bahrain	BHR	1997	43716.02
Bahrain	BHR	2001	46084.926
Bahrain	BHR	2002	46478.207
Bahrain	BHR	2007	46792.176
Bahrain	BHR	2008	46588.64
Bahrain	BHR	2009	44972.746
Bahrain	BHR	2010	45600.066
Bahrain	BHR	2012	47793.53
Bahrain	BHR	2013	48915.53
Bangladesh	BGD	2000	2267.0754
Bangladesh	BGD	2001	2337.3645
Bangladesh	BGD	2002	2382.2815
Bangladesh	BGD	2003	2451.9902
Bangladesh	BGD	2004	2537.9507
Bangladesh	BGD	2005	2663.0962
Bangladesh	BGD	2006	2806.5928
Bangladesh	BGD	2007	2973.2812
Bangladesh	BGD	2008	3124.2268
Bangladesh	BGD	2009	3253.0913
Bangladesh	BGD	2010	3395.3647
Bangladesh	BGD	2012	3756.932
Bangladesh	BGD	2013	3932.7083
Barbados	BRB	1990	14097.3955
Barbados	BRB	1991	13519.722
Barbados	BRB	1992	12710.419
Barbados	BRB	1993	12772.787
Barbados	BRB	1994	12993.924
Barbados	BRB	1995	13225.754
Barbados	BRB	1998	14864.666
Barbados	BRB	1999	14884.602
Barbados	BRB	2000	15517.94
Barbados	BRB	2001	15109.764
Barbados	BRB	2002	15167.127
Barbados	BRB	2003	15436.603
Barbados	BRB	2004	15595.853
Barbados	BRB	2005	16154.261
Barbados	BRB	2006	17081.633
Barbados	BRB	2007	17371.072
Barbados	BRB	2008	17405.893
Barbados	BRB	2009	16462.707
Barbados	BRB	2010	16019.508
Barbados	BRB	2011	15864.572
Barbados	BRB	2012	15755.267
Barbados	BRB	2013	15489.761
Barbados	BRB	2014	15441.22
Barbados	BRB	2015	15789.451
Barbados	BRB	2016	16156.518
Barbados	BRB	2017	16198.962
Barbados	BRB	2018	16003.857
Barbados	BRB	2019	15954.803
Barbados	BRB	2020	13805.777
Barbados	BRB	2021	13754.803
Belarus	BLR	1990	8895.173
Belarus	BLR	1991	8784.377
Belarus	BLR	1992	7923.6504
Belarus	BLR	1993	7305.307
Belarus	BLR	1994	6458.2144
Belarus	BLR	1995	5805.3633
Belarus	BLR	1996	5988.0396
Belarus	BLR	1997	6698.458
Belarus	BLR	1998	7293.908
Belarus	BLR	1999	7575.9185
Belarus	BLR	2000	8053.174
Belarus	BLR	2001	8477.084
Belarus	BLR	2002	8961.642
Belarus	BLR	2007	14417.354
Belarus	BLR	2008	15942.897
Belarus	BLR	2009	16014.115
Belarus	BLR	2010	17300.703
Belarus	BLR	2012	18611.455
Belarus	BLR	2013	18805.432
Belgium	BEL	1990	35506.926
Belgium	BEL	1991	36023.684
Belgium	BEL	1992	36426.992
Belgium	BEL	1993	35935.957
Belgium	BEL	1994	36981.45
Belgium	BEL	1995	37784.15
Belgium	BEL	1996	38208.72
Belgium	BEL	1997	39562.37
Belgium	BEL	2000	43024.14
Belgium	BEL	2001	43347.89
Belgium	BEL	2002	43890.598
Belize	BLZ	2000	8702.083
Belize	BLZ	2001	8857.37
Belize	BLZ	2002	9023.401
Belize	BLZ	2003	9566.061
Belize	BLZ	2004	9710.014
Belize	BLZ	2005	9631.592
Belize	BLZ	2006	9781.776
Belize	BLZ	2007	9815.055
Belize	BLZ	2008	9397.152
Belize	BLZ	2009	9101.549
Belize	BLZ	2010	8988.865
Belize	BLZ	2012	8912.105
Belize	BLZ	2013	9109.572
Belize	BLZ	2014	9276.317
Belize	BLZ	2018	8798.538
Belize	BLZ	2019	9028.552
Belize	BLZ	2020	7703.118
Belize	BLZ	2021	8762.623
Bermuda	BMU	1990	65961.41
Bermuda	BMU	1991	63958.895
Bermuda	BMU	1992	64385.406
Bermuda	BMU	1993	65967.85
Bermuda	BMU	1994	65904.72
Bermuda	BMU	1996	69643.41
Bermuda	BMU	1997	72403.88
Bermuda	BMU	1998	74677.09
Bermuda	BMU	1999	76772.32
Bermuda	BMU	2000	83181.52
Bermuda	BMU	2001	88231.78
Bermuda	BMU	2002	86364.16
Bermuda	BMU	2003	88727.31
Bermuda	BMU	2004	90195.81
Bermuda	BMU	2005	91114.08
Bermuda	BMU	2006	95615.36
Bermuda	BMU	2007	98257.99
Bermuda	BMU	2008	95855.8
Bermuda	BMU	2009	89961.984
Bermuda	BMU	2010	88399.914
Bermuda	BMU	2011	85829.375
Bermuda	BMU	2012	80982.37
Bermuda	BMU	2013	80503.65
Bermuda	BMU	2014	77361.1
Bermuda	BMU	2015	77842.75
Bermuda	BMU	2016	78149.35
Bermuda	BMU	2017	81834.95
Bermuda	BMU	2019	81681.73
Bermuda	BMU	2020	76117.805
Bermuda	BMU	2021	80271.13
Bhutan	BTN	1990	2737.9932
Bhutan	BTN	1991	2682.3093
Bhutan	BTN	1992	2917.5796
Bhutan	BTN	1993	3118.9631
Bhutan	BTN	1994	3270.7488
Bhutan	BTN	1995	3460.4612
Bhutan	BTN	1996	3585.363
Bhutan	BTN	1997	3713.2947
Bhutan	BTN	1998	3860.3472
Bhutan	BTN	1999	4067.465
Bhutan	BTN	2000	4087.8306
Bhutan	BTN	2001	4311.447
Bhutan	BTN	2002	4663.1274
Bhutan	BTN	2003	4904.5107
Bhutan	BTN	2004	5076.3154
Bhutan	BTN	2005	5336.7764
Bhutan	BTN	2006	5626.0547
Bhutan	BTN	2007	6577.4316
Bhutan	BTN	2008	6811.933
Bhutan	BTN	2009	7188.8594
Bhutan	BTN	2010	7958.227
Bhutan	BTN	2011	8499.3545
Bhutan	BTN	2012	8837.576
Bhutan	BTN	2013	8929.046
Bhutan	BTN	2019	11797.284
Bhutan	BTN	2020	10547.052
Bosnia and Herzegovina	BIH	2000	6826.658
Bosnia and Herzegovina	BIH	2001	6966.1177
Bosnia and Herzegovina	BIH	2002	7310.2744
Bosnia and Herzegovina	BIH	2004	8181.4995
Bosnia and Herzegovina	BIH	2007	9804.853
Bosnia and Herzegovina	BIH	2008	10507.673
Bosnia and Herzegovina	BIH	2009	10364.503
Bosnia and Herzegovina	BIH	2010	10637.086
Bosnia and Herzegovina	BIH	2012	11047.185
Bosnia and Herzegovina	BIH	2013	11484.3545
Bosnia and Herzegovina	BIH	1990	
Botswana	BWA	2001	11262.898
Botswana	BWA	2002	11725.56
Botswana	BWA	2003	12054.874
Botswana	BWA	2004	12166.467
Botswana	BWA	2005	12494.217
Botswana	BWA	2006	13287.226
Botswana	BWA	2007	13783.38
Botswana	BWA	2008	13945.599
Botswana	BWA	2009	11729.565
Botswana	BWA	2010	12653.371
Brazil	BRA	1990	10401.843
Brazil	BRA	1991	10328.957
Brazil	BRA	1992	10103.788
Brazil	BRA	1993	10431.409
Brazil	BRA	1994	10867.751
Brazil	BRA	1995	11151.191
Brazil	BRA	1996	11224.399
Brazil	BRA	1997	11432.65
Brazil	BRA	1998	11304.097
Brazil	BRA	1999	11196.839
Brazil	BRA	2000	11529.486
Brazil	BRA	2001	11536.364
Brazil	BRA	2002	11739.432
Brazil	BRA	2003	11733.411
Brazil	BRA	2004	12268.664
Brazil	BRA	2005	12520.855
Brazil	BRA	2006	12877.444
Brazil	BRA	2007	13518.848
Brazil	BRA	2008	14067.946
Brazil	BRA	2009	13916.963
Brazil	BRA	2010	14824.741
Brazil	BRA	2012	15425.353
Brazil	BRA	2013	15751.484
British Virgin Islands	VGB	1990	
British Virgin Islands	VGB	1991	
British Virgin Islands	VGB	1992	
British Virgin Islands	VGB	1993	
British Virgin Islands	VGB	1994	
British Virgin Islands	VGB	1995	
British Virgin Islands	VGB	1996	
British Virgin Islands	VGB	1999	
British Virgin Islands	VGB	2001	
British Virgin Islands	VGB	2002	
British Virgin Islands	VGB	2003	
British Virgin Islands	VGB	2004	
British Virgin Islands	VGB	2006	
Brunei	BRN	1996	72320.984
Brunei	BRN	1997	69660.19
Brunei	BRN	1998	67770.17
Brunei	BRN	1999	68366.664
Brunei	BRN	2000	68865.79
Brunei	BRN	2003	71331.75
Brunei	BRN	2004	70415.42
Brunei	BRN	2005	69482.38
Brunei	BRN	2006	71352.88
Brunei	BRN	2007	70342.41
Brunei	BRN	2008	67934.06
Brunei	BRN	2009	65753.41
Brunei	BRN	2010	66484.24
Brunei	BRN	2011	68037.52
Brunei	BRN	2012	67792.76
Brunei	BRN	2013	65534.684
Bulgaria	BGR	1990	12509.962
Bulgaria	BGR	1991	11567.453
Bulgaria	BGR	1992	10842.027
Bulgaria	BGR	1993	10767.086
Bulgaria	BGR	1994	11000.124
Bulgaria	BGR	1995	11365.372
Bulgaria	BGR	1996	12018.81
Bulgaria	BGR	1997	10385.342
Bulgaria	BGR	1998	10851.023
Bulgaria	BGR	1999	9995.847
Bulgaria	BGR	2000	10506.14
Bulgaria	BGR	2001	11127.175
Bulgaria	BGR	2002	12039.07
Bulgaria	BGR	2003	12770.331
Bulgaria	BGR	2004	13704.788
Bulgaria	BGR	2005	14782.738
Bulgaria	BGR	2006	15908.718
Bulgaria	BGR	2007	17092.562
Bulgaria	BGR	2008	18268.04
Bulgaria	BGR	2009	17770.709
Bulgaria	BGR	2010	18163.873
Bulgaria	BGR	2012	18914.984
Bulgaria	BGR	2013	18914.525
Burundi	BDI	2012	814.3208
Burundi	BDI	2013	824.61053
Cambodia	KHM	1993	1716.841
Cambodia	KHM	1994	1077.8984
Cambodia	KHM	1995	1153.9265
Cambodia	KHM	1996	1193.2308
Cambodia	KHM	1997	1214.0117
Cambodia	KHM	1998	1244.981
Cambodia	KHM	1999	1376.0468
Cambodia	KHM	2000	1486.107
Cambodia	KHM	2001	1578.6277
Cambodia	KHM	2002	1652.5381
Cambodia	KHM	2003	1761.4211
Cambodia	KHM	2004	1909.4185
Cambodia	KHM	2005	2124.8374
Cambodia	KHM	2006	2313.3303
Cambodia	KHM	2007	2505.5203
Cambodia	KHM	2008	2629.259
Cambodia	KHM	2009	2592.1555
Cambodia	KHM	2010	2706.9917
Cambodia	KHM	1992	
Cameroon	CMR	2000	2937.992
Cameroon	CMR	2001	2985.578
Cameroon	CMR	2002	3036.7678
Cameroon	CMR	2003	3116.1528
Cameroon	CMR	2008	3308.3198
Cameroon	CMR	2009	3298.4075
Cameroon	CMR	2010	3298.6245
Cameroon	CMR	2012	3371.9756
Canada	CAN	1997	36910.477
Canada	CAN	1998	38031.625
Canada	CAN	1999	39671.383
Canada	CAN	2000	41338.65
Canada	CAN	2001	41623.95
Canada	CAN	2002	42416.41
Canada	CAN	2003	42793.08
Canada	CAN	2004	43704.414
Canada	CAN	2005	44680.797
Canada	CAN	2006	45396.84
Canada	CAN	2007	45888.477
Canada	CAN	2008	45851.63
Canada	CAN	2009	44003.617
Canada	CAN	2010	44861.523
Canada	CAN	2012	46126.516
Canada	CAN	2013	46704.76
Canada	CAN	1990	
Canada	CAN	1991	
Canada	CAN	1992	
Canada	CAN	1993	
Canada	CAN	1994	
Canada	CAN	1995	
Canada	CAN	1996	
Cape Verde	CPV	2003	4064.38
Cape Verde	CPV	2004	4419.0527
Cape Verde	CPV	2005	4664.659
Cape Verde	CPV	2006	4975.9185
Cape Verde	CPV	2013	5993.119
Cape Verde	CPV	2014	5961.996
Cape Verde	CPV	2015	5955.607
Cape Verde	CPV	2016	6166.314
Cape Verde	CPV	2017	6320.3423
Cape Verde	CPV	2018	6534.4604
Cape Verde	CPV	2019	6835.0786
Cape Verde	CPV	2020	5768.5386
Cayman Islands	CYM	2006	84778.38
Cayman Islands	CYM	2007	84870.016
Cayman Islands	CYM	2008	82125.12
Cayman Islands	CYM	2009	74068.88
Cayman Islands	CYM	2010	70095.9
Cayman Islands	CYM	2013	67537.55
Cayman Islands	CYM	2014	67762.36
Cayman Islands	CYM	2017	69534.77
Cayman Islands	CYM	2018	71046.02
Cayman Islands	CYM	2019	72402.836
Cayman Islands	CYM	2020	67093.41
Cayman Islands	CYM	1990	
Cayman Islands	CYM	1991	
Cayman Islands	CYM	1992	
Cayman Islands	CYM	1993	
Cayman Islands	CYM	1994	
Cayman Islands	CYM	1995	
Cayman Islands	CYM	1996	
Cayman Islands	CYM	1997	
Cayman Islands	CYM	1998	
Cayman Islands	CYM	1999	
Cayman Islands	CYM	2000	
Cayman Islands	CYM	2001	
Cayman Islands	CYM	2002	
Cayman Islands	CYM	2003	
Cayman Islands	CYM	2004	
Cayman Islands	CYM	2005	
Chile	CHL	2003	16636.654
Chile	CHL	2005	18415.756
Chile	CHL	2006	19339.488
Chile	CHL	2007	20140.53
Chile	CHL	2008	20695.562
Chile	CHL	2009	20255.1
Chile	CHL	2010	21225.104
Chile	CHL	2012	23467.979
Chile	CHL	2013	24011.592
China	CHN	1995	2391.477
China	CHN	1996	2601.3635
China	CHN	1997	2812.7112
China	CHN	2002	4024.3557
China	CHN	2003	4400.825
China	CHN	2004	4817.212
China	CHN	2005	5334.6465
China	CHN	2006	5979.7817
China	CHN	2007	6795.174
China	CHN	2008	7412.8745
China	CHN	2009	8069.3545
China	CHN	2010	8884.588
China	CHN	2012	10370.727
China	CHN	2013	11101.938
Colombia	COL	1990	8434.959
Colombia	COL	1991	8430.223
Colombia	COL	1992	8598.992
Colombia	COL	1993	8885.187
Colombia	COL	1994	9220.502
Colombia	COL	1995	9518.26
Colombia	COL	1996	9538.272
Colombia	COL	1997	9691.028
Colombia	COL	1998	9578.656
Colombia	COL	1999	9023.621
Colombia	COL	2000	9138.319
Colombia	COL	2001	9146.405
Colombia	COL	2002	9232.627
Colombia	COL	2003	9453.328
Colombia	COL	2004	9816.277
Colombia	COL	2005	10150.708
Colombia	COL	2006	10692.728
Colombia	COL	2007	11272.578
Colombia	COL	2008	11507.525
Colombia	COL	2009	11507.717
Colombia	COL	2010	11890.203
Colombia	COL	2012	12934.966
Colombia	COL	2013	13465.075
Cook Islands	COK	2012	
Costa Rica	CRI	1990	9810.552
Costa Rica	CRI	1991	9781.46
Costa Rica	CRI	1992	10416.108
Costa Rica	CRI	1993	10882.049
Costa Rica	CRI	1994	11100.709
Costa Rica	CRI	1995	11290.96
Costa Rica	CRI	1996	11182.4795
Costa Rica	CRI	1997	11532.463
Costa Rica	CRI	1998	12092.476
Costa Rica	CRI	1999	12343.711
Costa Rica	CRI	2000	12570.696
Costa Rica	CRI	2001	12771.951
Costa Rica	CRI	2002	12986.001
